epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1588.98,0.28987,0.62755,0.79048,0.91577,0.97899,0.99115,0.98616,0.18434,0.52712,0.76302,0.000159923,0.000159923,0.000159923
44,1624.99,0.27911,0.61429,0.78753,0.92824,0.97446,0.9875,0.98349,0.18435,0.52605,0.76195,0.000155802,0.000155802,0.000155802
45,1661.78,0.27662,0.59563,0.78844,0.93111,0.9741,0.9875,0.9824,0.18756,0.52121,0.76182,0.000151682,0.000151682,0.000151682
46,1698.29,0.26503,0.57335,0.77418,0.93814,0.97403,0.9875,0.98099,0.18294,0.50207,0.7615,0.000147561,0.000147561,0.000147561
47,1735.09,0.26509,0.56184,0.78557,0.94186,0.9816,0.99115,0.98206,0.17969,0.48375,0.76163,0.00014344,0.00014344,0.00014344
48,1773.01,0.27079,0.56266,0.7833,0.95518,0.98046,0.995,0.98449,0.18607,0.47419,0.76194,0.000139319,0.000139319,0.000139319
49,1818.4,0.2774,0.55261,0.78006,0.9556,0.98277,0.995,0.98851,0.18018,0.47139,0.762,0.000135198,0.000135198,0.000135198
50,1864.96,0.2829,0.58219,0.7822,0.9641,0.98607,0.995,0.98423,0.19838,0.46896,0.76252,0.000131077,0.000131077,0.000131077
51,1910.58,0.26828,0.53431,0.77929,0.96339,0.99074,0.995,0.98903,0.17566,0.45697,0.76142,0.000126956,0.000126956,0.000126956
52,1948.77,0.25729,0.52639,0.78194,0.9668,0.98862,0.995,0.99087,0.17584,0.45323,0.76148,0.000122835,0.000122835,0.000122835
53,1986.11,0.26514,0.54981,0.78042,0.96805,0.98893,0.995,0.99195,0.16989,0.44769,0.76127,0.000118714,0.000118714,0.000118714
54,2022.8,0.24845,0.51658,0.7794,0.96821,0.99414,0.995,0.98897,0.17257,0.43813,0.76088,0.000114594,0.000114594,0.000114594
55,2059.96,0.26404,0.52365,0.7916,0.97014,0.99155,0.995,0.98797,0.18716,0.4297,0.76118,0.000110473,0.000110473,0.000110473
56,2097.63,0.2466,0.51805,0.78285,0.9726,0.99537,0.995,0.99102,0.17593,0.41625,0.76099,0.000106352,0.000106352,0.000106352
57,2134.36,0.25627,0.52762,0.78356,0.97369,0.99559,0.995,0.99225,0.17325,0.41263,0.76045,0.000102231,0.000102231,0.000102231
58,2170.66,0.24275,0.50152,0.79344,0.97367,0.99832,0.995,0.99261,0.16938,0.4098,0.76026,9.81101e-05,9.81101e-05,9.81101e-05
